78d824fa,natural_high_3_x2.jpeg,2
78d824fa,natural_medium_1_x4.jpeg,1
78d824fa,ai_high_3_x4.png,2
78d824fa,cgi_medium_1_x2.jpeg,2
78d824fa,natural_low_2_x4.jpg,1
78d824fa,natural_medium_1_x2.jpeg,3
78d824fa,natural_low_3_x4.jpg,1
78d824fa,ai_low_2_x4.png,2
78d824fa,natural_high_3_x4.jpeg,1
78d824fa,cgi_low_3_x4.png,1
78d824fa,cgi_medium_3_x4.jpg,2
78d824fa,cgi_low_1_x4.jpg,1
78d824fa,cgi_high_2_x4.jpg,2
78d824fa,cgi_high_3_x2.jpg,2
78d824fa,cgi_high_2_x2.jpg,3
78d824fa,cgi_high_1_x4.jpeg,2
78d824fa,ai_medium_3_x4.png,2
78d824fa,natural_low_3_x2.jpg,2
78d824fa,cgi_high_3_x4.jpg,2
78d824fa,cgi_medium_2_x2.jpg,4
78d824fa,cgi_high_1_x2.jpeg,4
78d824fa,ai_low_2_x2.png,5
78d824fa,natural_high_2_x2.jpeg,3
78d824fa,cgi_medium_1_x4.jpeg,2
78d824fa,ai_medium_3_x2.png,4
78d824fa,ai_medium_2_x4.png,2
78d824fa,natural_low_2_x2.jpg,5
78d824fa,ai_medium_1_x2.png,4
78d824fa,cgi_low_1_x2.jpg,3
78d824fa,ai_medium_2_x2.png,4
78d824fa,ai_high_2_x2.png,3
78d824fa,natural_high_2_x4.jpeg,1
78d824fa,cgi_low_2_x4.jpg,1
78d824fa,ai_medium_1_x4.png,3
78d824fa,ai_high_1_x4.png,3
78d824fa,ai_low_3_x4.png,3
78d824fa,ai_high_3_x2.png,4
78d824fa,ai_low_1_x4.png,3
78d824fa,ai_low_1_x2.png,4
78d824fa,cgi_low_3_x2.png,4
78d824fa,natural_low_1_x4.jpeg,2
78d824fa,ai_high_2_x4.png,1
78d824fa,natural_high_1_x4.jpeg,1
78d824fa,natural_medium_3_x2.jpeg,4
78d824fa,ai_high_1_x2.png,4
78d824fa,natural_high_1_x2.jpeg,3
78d824fa,ai_low_3_x2.png,4
78d824fa,cgi_medium_2_x4.jpg,2
78d824fa,natural_medium_3_x4.jpeg,1
78d824fa,natural_medium_2_x2.jpeg,2
78d824fa,natural_low_1_x2.jpeg,3
78d824fa,cgi_low_2_x2.jpg,2
78d824fa,natural_medium_2_x4.jpeg,1
78d824fa,cgi_medium_3_x2.jpg,3
42e3ccfa,ai_low_3_x2.png,5
42e3ccfa,natural_low_3_x4.jpg,2
42e3ccfa,cgi_high_3_x4.jpg,1
42e3ccfa,natural_high_1_x4.jpeg,1
42e3ccfa,ai_low_2_x4.png,3
42e3ccfa,natural_low_1_x2.jpeg,5
42e3ccfa,ai_medium_2_x4.png,4
42e3ccfa,cgi_high_3_x2.jpg,4
42e3ccfa,natural_low_1_x4.jpeg,3
42e3ccfa,natural_medium_1_x2.jpeg,4
42e3ccfa,natural_high_2_x4.jpeg,2
42e3ccfa,cgi_medium_1_x4.jpeg,1
