image,type,detail,number,factor,MOS,STD,N,CI95
ai_high_1_x2.png,ai,high,1,x2,4.176470588235294,0.6359337738364604,17,0.30230372682551426
ai_high_1_x4.png,ai,high,1,x4,2.411764705882353,0.7122871199007255,17,0.3385998035876857
ai_high_2_x2.png,ai,high,2,x2,4.0,0.7071067811865477,17,0.33613722687931735
ai_high_2_x4.png,ai,high,2,x4,1.4705882352941178,0.5144957554275266,17,0.24457575725746467
ai_high_3_x2.png,ai,high,3,x2,4.294117647058823,0.6859943405700354,17,0.3261010096766196
ai_high_3_x4.png,ai,high,3,x4,2.176470588235294,0.6359337738364603,17,0.3023037268255142
ai_low_1_x2.png,ai,low,1,x2,4.294117647058823,0.6859943405700355,17,0.32610100967661965
ai_low_1_x4.png,ai,low,1,x4,2.6470588235294117,0.7859052479933756,17,0.37359564026115893
ai_low_2_x2.png,ai,low,2,x2,4.411764705882353,0.7952062255644574,17,0.37801704434211536
ai_low_2_x4.png,ai,low,2,x4,2.7058823529411766,0.5878675320972554,17,0.2794544858981177
ai_low_3_x2.png,ai,low,3,x2,4.470588235294118,0.7174300539794394,17,0.3410445992610367
ai_low_3_x4.png,ai,low,3,x4,2.4705882352941178,0.5144957554275265,17,0.24457575725746467
ai_medium_1_x2.png,ai,medium,1,x2,4.235294117647059,0.8313702367707395,17,0.39520832402311906
ai_medium_1_x4.png,ai,medium,1,x4,2.4705882352941178,0.6242642728467976,17,0.29675639818138994
ai_medium_2_x2.png,ai,medium,2,x2,4.352941176470588,0.7859052479933756,17,0.37359564026115893
ai_medium_2_x4.png,ai,medium,2,x4,2.3529411764705883,0.6063390625908324,17,0.28823529411764703
ai_medium_3_x2.png,ai,medium,3,x2,4.352941176470588,0.7859052479933755,17,0.3735956402611589
ai_medium_3_x4.png,ai,medium,3,x4,2.5294117647058822,0.6242642728467978,17,0.29675639818139
cgi_high_1_x2.jpeg,cgi,high,1,x2,3.7058823529411766,0.6859943405700353,17,0.32610100967661954
cgi_high_1_x4.jpeg,cgi,high,1,x4,1.9411764705882353,0.747545001596402,17,0.355360336641741
cgi_high_2_x2.jpg,cgi,high,2,x2,4.0588235294117645,0.8993461677306268,17,0.4275220304325735
cgi_high_2_x4.jpg,cgi,high,2,x4,1.9411764705882353,0.8993461677306267,17,0.4275220304325734
cgi_high_3_x2.jpg,cgi,high,3,x2,3.5294117647058822,0.9432422182837985,17,0.44838888830535184
cgi_high_3_x4.jpg,cgi,high,3,x4,1.4705882352941178,0.5144957554275265,17,0.24457575725746467
cgi_low_1_x2.jpg,cgi,low,1,x2,3.764705882352941,1.147247344990711,17,0.5453667697016474
cgi_low_1_x4.jpg,cgi,low,1,x4,1.588235294117647,0.6183469424008423,17,0.2939434778424076
cgi_low_2_x2.jpg,cgi,low,2,x2,3.823529411764706,0.8828430011649196,17,0.41967692302911225
cgi_low_2_x4.jpg,cgi,low,2,x4,1.8823529411764706,0.6002450479987809,17,0.2853383834670421
cgi_low_3_x2.png,cgi,low,3,x2,3.6470588235294117,0.7018882096342192,17,0.33365647543336535
cgi_low_3_x4.png,cgi,low,3,x4,1.8823529411764706,0.8574929257125442,17,0.40762626209577446
cgi_medium_1_x2.jpeg,cgi,medium,1,x2,3.588235294117647,0.9393364366277243,17,0.4465321975627375
cgi_medium_1_x4.jpeg,cgi,medium,1,x4,1.6470588235294117,0.6063390625908325,17,0.2882352941176471
cgi_medium_2_x2.jpg,cgi,medium,2,x2,4.352941176470588,0.701888209634219,17,0.3336564754333653
cgi_medium_2_x4.jpg,cgi,medium,2,x4,2.1176470588235294,0.600245047998781,17,0.28533838346704216
cgi_medium_3_x2.jpg,cgi,medium,3,x2,3.0588235294117645,0.8269362305593853,17,0.39310053126606287
cgi_medium_3_x4.jpg,cgi,medium,3,x4,1.6470588235294117,0.49259218307188896,17,0.2341634598983306
natural_high_1_x2.jpeg,natural,high,1,x2,3.4705882352941178,0.7998161553463028,17,0.38020846585610174
natural_high_1_x4.jpeg,natural,high,1,x4,1.3529411764705883,0.49259218307188896,17,0.2341634598983306
natural_high_2_x2.jpeg,natural,high,2,x2,3.7058823529411766,0.9195587176978519,17,0.43713046677473644
natural_high_2_x4.jpeg,natural,high,2,x4,1.588235294117647,0.5072996561958923,17,0.24115494882452765
natural_high_3_x2.jpeg,natural,high,3,x2,3.411764705882353,0.9393364366277243,17,0.4465321975627375
natural_high_3_x4.jpeg,natural,high,3,x4,1.411764705882353,0.5072996561958923,17,0.24115494882452765
natural_low_1_x2.jpeg,natural,low,1,x2,3.9411764705882355,0.9663454503498036,17,0.4593714676911483
natural_low_1_x4.jpeg,natural,low,1,x4,1.8235294117647058,0.7276068751089989,17,0.3458823529411765
natural_low_2_x2.jpg,natural,low,2,x2,4.117647058823529,0.781213234429025,17,0.37136519859384187
natural_low_2_x4.jpg,natural,low,2,x4,2.5294117647058822,0.7174300539794393,17,0.34104459926103664
natural_low_3_x2.jpg,natural,low,3,x2,2.7058823529411766,1.2631659571466125,17,0.600470980084696
natural_low_3_x4.jpg,natural,low,3,x4,2.0588235294117645,0.8993461677306268,17,0.4275220304325735
natural_medium_1_x2.jpeg,natural,medium,1,x2,3.823529411764706,0.6359337738364603,17,0.3023037268255142
natural_medium_1_x4.jpeg,natural,medium,1,x4,1.8823529411764706,0.600245047998781,17,0.28533838346704216
natural_medium_2_x2.jpeg,natural,medium,2,x2,3.5294117647058822,0.7998161553463028,17,0.38020846585610174
natural_medium_2_x4.jpeg,natural,medium,2,x4,1.7058823529411764,0.5878675320972555,17,0.2794544858981178
natural_medium_3_x2.jpeg,natural,medium,3,x2,4.0,0.49999999999999994,17,0.23768491253560628
natural_medium_3_x4.jpeg,natural,medium,3,x4,2.0588235294117645,0.8269362305593853,17,0.39310053126606287
